id,user,raw_message,clean_message,links,topic,source,timestamp
1,nmenon,nmenon: oh wow... #gsoc!,oh wow... #gsoc!,[],gsoc_planning,gsoc,2023-2024
2,ayush1325,ayush1325: @Nishanth Menon Do you use the standard beagleplay config when buidling mainline? Do I need to copy the `firmware` from ti kernel?,@Nishanth Menon Do you use the standard beagleplay config when buidling mainline? Do I need to copy the `firmware` from ti kernel?,[],kernel_dev,gsoc,2023-2024
3,nmenon,nmenon: i only use upstream defconfig,i only use upstream defconfig,[],general,gsoc,2023-2024
4,nmenon,"nmenon: if there are patches missing in defconfig in upstream, I post it there","if there are patches missing in defconfig in upstream, I post it there",[],kernel_dev,gsoc,2023-2024
5,nmenon,nmenon: why do you need firmware? you are working on kernel. everything about firmware comes from beagle's build,why do you need firmware? you are working on kernel. everything about firmware comes from beagle's build,[],kernel_dev,gsoc,2023-2024
6,nmenon,nmenon: I think robert even releases an upstream based disk image if you want to play around (I dont use it though. i just use the standard beagle images and replace the kernel,I think robert even releases an upstream based disk image if you want to play around (I dont use it though. i just use the standard beagle images and replace the kernel,[],kernel_dev,gsoc,2023-2024
7,ayush1325,ayush1325: I remember it complaining at me when I was using config from beagleplay /boot/config.,I remember it complaining at me when I was using config from beagleplay /boot/config.,[],general,gsoc,2023-2024
8,nmenon,nmenon: we dont use beagle's config in upstream 😉 - the only big thing that is missing is containers - beagle customizes to enable docker - upstream is independent of a specific container tech..,we dont use beagle's config in upstream 😉 - the only big thing that is missing is containers - beagle customizes to enable docker - upstream is independent of a specific container tech..,[],general,gsoc,2023-2024
9,ayush1325,"ayush1325: @Nishanth Menon I have created a work branch (https://github.com/Ayush1325/linux/tree/gb-beagleplay). booted into the kernel. but I am getting `Got Unknown Frame 65`  when loading the driver, which probably means the UART i am connected to is not the correct one.","@Nishanth Menon I have created a work branch (https://github.com/Ayush1325/linux/tree/gb-beagleplay). booted into the kernel. but I am getting `Got Unknown Frame 65`  when loading the driver, which probably means the UART i am connected to is not the correct one.",['https://github.com/Ayush1325/linux/tree/gb-beagleplay).'],kernel_dev,gsoc,2023-2024
10,ayush1325,"ayush1325: Ok, so it seems the driver is actually working. It's just that the upstream greybus cannot parse the manifest that bcf sends. I guess it is due to the extensions to manifest made for mikrobus. But the svc interactions work.","Ok, so it seems the driver is actually working. It's just that the upstream greybus cannot parse the manifest that bcf sends. I guess it is due to the extensions to manifest made for mikrobus. But the svc interactions work.",[],kernel_dev,gsoc,2023-2024
11,nmenon,"nmenon: first levels of comments https://github.com/Ayush1325/linux/commits/gb-beagleplay
1. subject line: follow the convention of the files being touched - do git log --oneline file_name to see convention
2. commit message should have more detailed commit message to explain to the reviewer why the change is needed etc.. 
3. the sequence of patches should be:
Device tree binding yaml binding
driver changes
dts update","first levels of comments https://github.com/Ayush1325/linux/commits/gb-beagleplay
1. subject line: follow the convention of the files being touched - do git log --oneline file_name to see convention
2. commit message should have more detailed commit message to explain to the reviewer why the change is needed etc.. 
3. the sequence of patches should be:
Device tree binding yaml binding
driver changes
dts update",['https://github.com/Ayush1325/linux/commits/gb-beagleplay'],kernel_dev,gsoc,2023-2024
12,nmenon,nmenon: https://github.com/Ayush1325/linux/commit/d4ebd7c0aacb5db2a5827eea1ddbc95894cdf87e should be rolled up with the driver patch,https://github.com/Ayush1325/linux/commit/d4ebd7c0aacb5db2a5827eea1ddbc95894cdf87e should be rolled up with the driver patch,['https://github.com/Ayush1325/linux/commit/d4ebd7c0aacb5db2a5827eea1ddbc95894cdf87e'],kernel_dev,gsoc,2023-2024
13,nmenon,nmenon: I doubt https://github.com/Ayush1325/linux/commit/8b9326ec614d3d1ce6a2369b376b565aca66b8d7 is going to fly upstream. Device tree must describe hardware.,I doubt https://github.com/Ayush1325/linux/commit/8b9326ec614d3d1ce6a2369b376b565aca66b8d7 is going to fly upstream. Device tree must describe hardware.,['https://github.com/Ayush1325/linux/commit/8b9326ec614d3d1ce6a2369b376b565aca66b8d7'],general,gsoc,2023-2024
14,ayush1325,ayush1325: The name should be descriptive or should it not be added to the device tree? I picked it up from ti kernel device tree.,The name should be descriptive or should it not be added to the device tree? I picked it up from ti kernel device tree.,[],kernel_dev,gsoc,2023-2024
15,nmenon,nmenon: https://www.youtube.com/watch?v=JrwZ4xLBU38&list=PLbzoR-pLrL6pY8a8zSKRC6-AihFrruOkq&index=15 watch this video,https://www.youtube.com/watch?v=JrwZ4xLBU38&list=PLbzoR-pLrL6pY8a8zSKRC6-AihFrruOkq&index=15 watch this video,['https://www.youtube.com/watch?v=JrwZ4xLBU38&list=PLbzoR-pLrL6pY8a8zSKRC6-AihFrruOkq&index=15'],general,gsoc,2023-2024
16,nmenon,nmenon: https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R5 -> You need to add Copyright (C) 2023  BeagleBoard.org Foundation -> @rcn-ee / @JKridner  comment on exact beagleboard.org foundation license to add,https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R5 -> You need to add Copyright (C) 2023  BeagleBoard.org Foundation -> @rcn-ee / @JKridner  comment on exact beagleboard.org foundation license to add,['https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R5'],general,gsoc,2023-2024
17,nmenon,nmenon: https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R242 no C++ comments in code,https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R242 no C++ comments in code,['https://github.com/Ayush1325/linux/commit/237b8f449dd85bd821f4fd1f136720269743a251#diff-8dba146cc2d0e7c65771c9ce939c75b9dc568361253e8e0837b525eb50848355R242'],general,gsoc,2023-2024
18,nmenon,nmenon: TI tree does'nt support mikrobus 😉 - it was probably picked up from beagle kernel 🙂,TI tree does'nt support mikrobus 😉 - it was probably picked up from beagle kernel 🙂,[],kernel_dev,gsoc,2023-2024
19,nmenon,nmenon: https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58 -> output of kpv -C -V -L -n 3,https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58 -> output of kpv -C -V -L -n 3,['https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58'],general,gsoc,2023-2024
20,nmenon,nmenon: all the patches should pass the standard static checkers which is what kernel_patch_verify runs.. so your series is not ready for submission upstream 😦,all the patches should pass the standard static checkers which is what kernel_patch_verify runs.. so your series is not ready for submission upstream 😦,[],kernel_dev,gsoc,2023-2024
21,nmenon,"nmenon: since you are working with linux-next https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58#file-kpv-c-v-l-n-3-L184 -> warnings that is coming in from other files, I'd ignore","since you are working with linux-next https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58#file-kpv-c-v-l-n-3-L184 -> warnings that is coming in from other files, I'd ignore",['https://gist.github.com/nmenon/bf15fc8c5df7d3380a71454e9ad37b58#file-kpv-c-v-l-n-3-L184'],general,gsoc,2023-2024
22,ayush1325,ayush1325: Yes. I was fixing those one by one after having run them locally. I will push to the branch once they are fixed.,Yes. I was fixing those one by one after having run them locally. I will push to the branch once they are fixed.,[],general,gsoc,2023-2024
23,nmenon,"nmenon: ok, good.","ok, good.",[],general,gsoc,2023-2024
